"","coef.names","OR","ci.low","ci.up"
"1","(Intercept)",0.176284902940939,0.123644926718696,0.251335560864524
"2","svy_year2001-2002",1.07341228191171,0.844620254081981,1.36417984459922
"3","svy_year2003-2004",1.21450964235,0.952909526356773,1.54792625171939
"4","svy_year2005-2006",1.29872214017052,1.01011603484334,1.66978756814873
"5","svy_year2007-2008",1.27156810189755,1.00019798771763,1.61656537767382
"6","svy_year2009-2010",1.31745829533233,1.03463070636116,1.67759989073249
"7","svy_year2011-2012",1.39744336491713,1.07463749138371,1.81721554832078
"8","svy_year2013-2014",1.62915906648618,1.26086220539966,2.1050351517776
"9","svy_year2015-2016",1.43677525470733,1.1080843380907,1.8629657162164
"10","svy_year2017-2020",1.12805388194663,0.888931087069838,1.43150079807581
"11","demo_age_years",1.01737652988216,1.01301591355617,1.02175591686565
"12","demo_raceHispanic/Asian/Other",0.983789587546751,0.857668997477061,1.12845626391117
"13","demo_raceNon-Hispanic Black",1.49542283559429,1.3154492346362,1.70001958139823
"14","female",1.23940553629415,1.10168641911865,1.39434058252756
"15","cc_bmi25 to <30",1.4110008569825,1.213298809855,1.64091763894772
"16","cc_bmi30+",2.25666765066199,1.92922690264651,2.63968373992628
"17","cc_diabetes",1.67905587565806,1.42435094863561,1.9793075830661
"18","cc_ckd",1.55501390702766,1.36242505050747,1.77482662268192
"19","cc_cvd_any",2.79451656168635,2.32713443754848,3.355767800749
